# wavelength(um) flux(mJy)
1.700602880710294640e+00 1.008220736662202910e+00
1.701672350780669474e+00 1.101494259186664104e+00
1.702741821733366523e+00 1.146940850848871429e+00
1.703811293562522033e+00 1.143775288729571571e+00
1.704880766262391711e+00 1.151088252245507038e+00
1.705950239827405568e+00 1.100065563517818257e+00
1.707019714251846620e+00 1.106944414490609541e+00
1.708089189529723884e+00 1.088178449290079675e+00
1.709158665655592602e+00 1.061409815620053321e+00
1.710228142623759107e+00 1.053282321300189839e+00
1.711297620428391175e+00 1.038519452617831629e+00
1.712367099063765830e+00 1.036101966543873987e+00
1.713436578524343501e+00 9.979662846263761544e-01
1.714506058804436961e+00 9.820802644936836856e-01
1.715575539898094748e+00 9.718612206491377137e-01
1.716645021799881432e+00 9.841463550212389277e-01
1.717714504504138651e+00 1.006722461641583077e+00
1.718783988005082364e+00 1.026417732507520331e+00
1.719853472296984265e+00 1.050845317068553220e+00
1.720922957374349638e+00 1.057576752379761897e+00
1.721992443231519898e+00 1.022800692861159932e+00
1.723084062375027203e+00 1.038146472926175123e+00
1.724153551713959009e+00 1.033006812971794641e+00
1.725223041815221237e+00 1.060222946924623155e+00
1.726292532673183500e+00 1.024375305544285686e+00
1.727362024282145692e+00 1.029192764290192352e+00
1.728431516636439014e+00 1.024699783228985694e+00
1.729501009730567196e+00 1.029218669159144284e+00
1.730570503558798157e+00 1.028707118463262127e+00
1.731639998115507284e+00 1.027673183765461573e+00
1.732709493395106604e+00 1.016949161865907225e+00
1.733778989392028125e+00 1.048598084302970745e+00
1.734848486100567966e+00 1.047098301862983805e+00
1.735917983515108398e+00 1.067760254440475842e+00
1.736987481630158259e+00 1.065976576720839120e+00
1.738056980440048305e+00 1.072019466998696879e+00
1.739126479939165693e+00 1.078530891345167664e+00
1.740195980121921338e+00 1.076024042327572205e+00
1.741265480982825409e+00 1.071241674575647451e+00
1.742334982516154929e+00 1.088738038104031247e+00
1.743404484716368552e+00 1.078901706759263002e+00
1.744473987577951135e+00 1.061873647861179881e+00
1.745543491095316924e+00 1.058394578809549902e+00
1.746612995262852186e+00 1.056807665480029801e+00
1.747682500074970724e+00 1.063181266372750899e+00
1.748752005526235109e+00 1.036949560899261158e+00
1.749821511610981872e+00 1.000169042617276238e+00
1.750891018323669668e+00 9.787546147839306654e-01
1.751960525658778023e+00 9.714226203197260379e-01
1.753030033610814220e+00 9.743934216769966072e-01
1.754099542174141435e+00 9.367764248095268309e-01
1.755169051343221875e+00 9.218831698248315387e-01
1.756238561112625218e+00 9.154899068367791104e-01
1.757308071476769484e+00 9.011131600605333247e-01
1.758377582430107777e+00 8.918780605064875466e-01
1.759447093967110964e+00 8.666948553360783736e-01
1.760516606082366264e+00 8.549526734198383826e-01
1.761608320814176620e+00 8.535694585514387311e-01
1.762677835992267239e+00 8.588869306032705930e-01
1.763747351731523638e+00 8.670205378921006512e-01
1.764816868026562124e+00 8.613290258691562729e-01
1.765886384871887538e+00 8.510057252254706883e-01
1.766955902261759581e+00 8.440272591866063712e-01
1.768025420190914909e+00 8.442206129663537562e-01
1.769094938653896110e+00 8.250766444887018825e-01
1.770164457645154954e+00 8.353462471134111000e-01
1.771233977159075712e+00 8.347088914610821808e-01
1.772303497190394816e+00 8.487206615470755944e-01
1.773373017733642643e+00 8.417808455342408180e-01
1.774442538783203238e+00 8.416218110845207212e-01
1.775512060333650277e+00 8.680539430585264560e-01
1.776581582379646918e+00 8.328394564672905176e-01
1.777651104915741742e+00 8.223742689721307286e-01
1.778720627936249743e+00 8.330042824483047115e-01
1.779790151435928225e+00 8.327145667051927269e-01
1.780859675409370846e+00 8.304285280181734619e-01
1.781929199851098433e+00 8.409148454383161830e-01
1.782998724755497255e+00 8.516106335110495973e-01
1.784068250117363474e+00 8.788034475426133030e-01
1.785137775931273874e+00 8.657750710389093829e-01
1.786207302191684887e+00 8.774765433279323457e-01
1.787276828893155090e+00 8.918384029663051216e-01
1.788346356030418915e+00 9.125006869537994891e-01
1.789415883598067358e+00 9.230607253333851236e-01
1.790485411590500675e+00 9.475062039102800648e-01
1.791554940002438867e+00 9.118480085538760438e-01
1.792624468828559747e+00 9.552528855567226085e-01
1.793693998063469408e+00 9.893855399327582401e-01
1.794763527701511707e+00 1.029327336076616639e+00
1.795833057737566518e+00 1.048188472099826241e+00
1.796902588166252146e+00 1.061463245695827950e+00
1.797972118982131162e+00 1.060171456340800011e+00
1.799041650179686869e+00 1.077008243529109066e+00
1.800111181753754286e+00 1.082877067273384952e+00
