# wavelength(um) flux(mJy)
3.399611816406245546e-01 -9.660798502744889849e-06
3.401333506107325766e-01 -4.154490716703902980e-04
3.403055195808406541e-01 2.705949972210471648e-05
3.404776885509486761e-01 5.699506019870693947e-05
3.406498575210566981e-01 -1.885377020569387757e-04
3.408220264911647202e-01 9.558588388315774091e-04
3.409941954612727422e-01 7.383850671246619882e-04
3.411663644313807642e-01 3.562795440767935282e-04
3.413385334014888417e-01 7.262796111472763711e-04
3.415107023715968637e-01 5.595112693076815597e-05
3.416828713417048857e-01 -3.017022208712566607e-04
3.418550403118129077e-01 -9.342065436846117422e-05
3.420272092819209298e-01 -2.962258578301747367e-04
3.421993782520290073e-01 -2.098273797332078996e-04
3.423715472221370293e-01 -3.072983557413690452e-04
3.425437161922450513e-01 1.205841612173393741e-04
3.427158851623530733e-01 1.476117518160531452e-04
3.428880541324610953e-01 3.513915172777607159e-04
3.430602231025691173e-01 -6.325366515649292652e-05
3.432323920726771949e-01 -6.380477028717645733e-04
3.434045610427852169e-01 3.568426747997448462e-04
3.435767300128932389e-01 9.198873200494227112e-04
3.437488989830012609e-01 3.535456553898288644e-04
3.439210679531092829e-01 1.804060893626773941e-04
3.440932369232173604e-01 1.084627972841580414e-03
3.442654058933253824e-01 2.357034863588976573e-04
3.444375748634334045e-01 -2.098575230060806978e-04
3.446097438335414265e-01 1.120632603012596765e-03
3.447819128036494485e-01 3.068193250148549319e-04
3.449540817737574705e-01 8.029762586725327795e-04
3.451262507438655480e-01 9.429061230140958457e-04
3.452984197139735700e-01 1.097290303685031880e-03
3.454705886840815920e-01 1.555323768275412421e-03
3.456427576541896141e-01 1.181385912676198363e-03
3.458149266242976361e-01 6.309701616914692533e-04
3.459870955944057136e-01 2.675774614381878609e-04
3.461592645645137356e-01 -4.770375172616933643e-05
3.463314335346217576e-01 1.281302321325098695e-03
3.465036025047297796e-01 1.159662056637961571e-03
3.466757714748378016e-01 -5.076283820096683498e-04
3.468479404449458792e-01 5.043400604876858637e-04
3.470201094150539012e-01 4.840436630132009956e-05
3.471922783851619232e-01 7.312643839640488395e-04
3.473644473552699452e-01 -1.813585025910792220e-04
3.475366163253779672e-01 3.617876084935706051e-04
3.477087852954859892e-01 2.222818266456580861e-03
3.478809542655940668e-01 7.463858547086681160e-04
3.480531232357020888e-01 1.164390991316826759e-03
3.482252922058101108e-01 1.621203601452253767e-03
3.483974611759180773e-01 -1.043751069339764876e-04
3.485696301460261548e-01 -1.703239775629227296e-04
3.487417991161341768e-01 2.878306486385449349e-04
3.489139680862421988e-01 3.864171919163317953e-04
3.490861370563502208e-01 7.738463546154686259e-04
3.492583060264582429e-01 5.074018225762315110e-04
3.494304749965662649e-01 1.328769758297795910e-03
3.496026439666743424e-01 -1.633036366344769931e-04
3.497748129367823644e-01 -3.877839190643069152e-04
3.499469819068903864e-01 3.679901102788808677e-04
3.501191508769984084e-01 -9.716051966527870234e-05
3.502913198471064304e-01 3.501245822046529749e-04
3.504634888172145080e-01 6.421392307134676574e-04
3.506356577873225300e-01 3.916455292156424271e-04
3.508078267574305520e-01 1.332598611428678463e-03
3.509799957275385740e-01 1.772131267252681714e-03
3.511521646976465960e-01 6.740207543561145759e-04
3.513243336677546180e-01 5.367898552440237940e-04
3.514965026378626956e-01 7.976729544909458378e-04
3.516686716079707176e-01 1.042995274946729133e-03
3.518408405780787396e-01 1.282747417915840703e-03
3.520130095481867616e-01 -5.208915715818542187e-04
3.521851785182947836e-01 -4.379596405789924372e-04
3.523573474884028611e-01 2.549119366554033843e-04
3.525295164585108831e-01 5.687362825220184997e-04
3.527016854286189051e-01 5.548460753931596040e-05
3.528738543987269272e-01 -1.794736620899063998e-04
3.530460233688349492e-01 1.256859972380659426e-04
3.532181923389430267e-01 1.508600895581169252e-03
3.533903613090510487e-01 1.435600590844298167e-03
3.535625302791590707e-01 2.206053031608256460e-04
3.537346992492670927e-01 -3.849841376776643527e-04
3.539068682193751147e-01 -6.515443613534820707e-04
3.540790371894831368e-01 -5.514808024135756603e-05
3.542512061595912143e-01 1.300525507517533933e-03
3.544233751296992363e-01 -3.945221467127240701e-04
3.545955440998072583e-01 -2.135748629261931600e-04
3.547677130699152803e-01 -2.234471519466574220e-04
3.549398820400233023e-01 6.830501849544203105e-04
3.551120510101313799e-01 1.054095765935004559e-03
3.552842199802394019e-01 6.359212420483233456e-04
3.554563889503474239e-01 1.659882656328164020e-03
3.556285579204554459e-01 6.991844520958808524e-04
3.558007268905634679e-01 -8.899404714768334662e-04
3.559728958606714899e-01 -1.969301908906298548e-04
3.561450648307795674e-01 1.692122141293707100e-03
3.563172338008875895e-01 7.780473356664421511e-04
3.564894027709956115e-01 4.462990775053170419e-04
3.566615717411036335e-01 2.951360469403704152e-04
3.568337407112116555e-01 1.655244898986162852e-04
3.570059096813197330e-01 -1.642872279084945882e-04
3.571780786514277550e-01 -2.726714656932178126e-04
3.573502476215357770e-01 1.843519937986660246e-04
3.575224165916437991e-01 6.541760449437039431e-04
3.576945855617518211e-01 3.710996869864847947e-04
3.578667545318598986e-01 -1.501528902487515025e-04
3.580389235019679206e-01 3.493074732520435460e-04
3.582110924720759426e-01 -1.390426992522777669e-03
3.583832614421839646e-01 3.090743165842882467e-04
3.585554304122919866e-01 4.609312550177700665e-04
3.587275993824000087e-01 1.262275599452493055e-03
3.588997683525080862e-01 -3.538774604989938636e-04
3.590719373226161082e-01 -1.124266297377487503e-03
3.592441062927241302e-01 4.315713672879440419e-04
3.594162752628321522e-01 -2.538188034485488906e-05
3.595884442329401742e-01 -1.817219438977634479e-04
3.597606132030482518e-01 6.604151443499440242e-04
3.599327821731562738e-01 7.781958728840868145e-04
3.601049511432642958e-01 9.139291033869675635e-04
3.602771201133723178e-01 8.298861477765411693e-05
3.604492890834803398e-01 -3.968723618366548677e-04
3.606214580535883618e-01 1.829268479638289924e-05
3.607936270236964393e-01 -1.414653122150839014e-03
3.609657959938044614e-01 -9.366884033699609960e-04
3.611379649639124834e-01 4.017969476371695270e-04
3.613101339340205054e-01 6.013977692702589728e-04
3.614823029041285274e-01 9.551158768574856883e-04
3.616544718742366049e-01 3.782926054728419645e-04
3.618266408443446269e-01 3.422303085873599376e-04
3.619988098144526489e-01 -7.786395329413712879e-04
3.621709787845606709e-01 2.951287857110987737e-05
3.623431477546686930e-01 1.307313519577428225e-03
3.625153167247767150e-01 1.245851466375192665e-03
3.626874856948847925e-01 9.968944016553894089e-04
3.628596546649928145e-01 2.748125121217522698e-04
3.630318236351008365e-01 8.823238685448459235e-04
3.632039926052088585e-01 9.570893010983708973e-05
3.633761615753168805e-01 1.228933842819216740e-03
3.635483305454249581e-01 4.995084069227680125e-04
3.637204995155329801e-01 -1.861856916511260009e-05
3.638926684856410021e-01 5.774760656494783108e-04
3.640648374557490241e-01 -2.628222133703497009e-05
3.642370064258570461e-01 -6.455962954525143590e-04
3.644091753959651236e-01 9.898047027297267840e-04
3.645813443660731457e-01 5.173987313821032863e-04
3.647535133361811677e-01 1.357301902523892312e-04
3.649256823062891897e-01 -4.694463435510284909e-04
3.650978512763972117e-01 1.050307942624601664e-04
3.652700202465052337e-01 1.138218661359410898e-03
3.654421892166133112e-01 3.618484910752765892e-04
3.656143581867213332e-01 1.314338534562359837e-03
3.657865271568293553e-01 7.836351110036286803e-04
3.659586961269373773e-01 -2.100190716753974249e-04
3.661308650970453993e-01 4.183572890268685254e-04
3.663030340671534768e-01 -9.047822639907819511e-04
3.664752030372614988e-01 -1.062114998837491520e-03
3.666473720073695208e-01 -3.404557690462202391e-04
3.668195409774775428e-01 6.855279264821215017e-04
3.669917099475855649e-01 8.008104296544918876e-04
3.671638789176935869e-01 1.130055808516414011e-03
3.673360478878016644e-01 7.136525976903842496e-05
3.675082168579096864e-01 -2.906764937142111900e-04
3.676803858280177084e-01 6.508433277821484451e-04
3.678525547981257304e-01 1.130605541701844644e-03
3.680247237682337524e-01 1.108141976490490234e-03
3.681968927383418300e-01 2.312608388006743502e-04
3.683690617084498520e-01 7.195926875306981902e-04
3.685412306785578740e-01 1.989202054317764506e-03
3.687133996486658960e-01 1.811158656186090486e-03
3.688855686187739180e-01 9.080975636491309122e-04
3.690577375888819955e-01 -1.752980843881548039e-04
3.692299065589900176e-01 -9.238736553445129999e-04
