# wavelength(um) flux(mJy)
3.631703694529372362e-01 8.136586664655726109e-02
3.633701331325042694e-01 9.181055466721241287e-02
3.635698968120713581e-01 7.343540841450102441e-02
3.637696604916384469e-01 8.760122614371870786e-02
3.639694241712055356e-01 8.722057858016601939e-02
3.641691878507725688e-01 7.386612043846246811e-02
3.643689515303396576e-01 6.658657642948076494e-02
3.645687152099067463e-01 9.878178427018997898e-02
3.647684788894737795e-01 9.011383305990530723e-02
3.649682425690408683e-01 6.605562901989017743e-02
3.651680062486079570e-01 7.849358942357979874e-02
3.653677699281749902e-01 1.004625887156893327e-01
3.655675336077420789e-01 8.599971551198652697e-02
3.657672972873091677e-01 8.669649051744222901e-02
3.659670609668762564e-01 9.631178037269041980e-02
3.661668246464432896e-01 8.759475304551754549e-02
3.663665883260103229e-01 1.012947976870726269e-01
3.665663520055774671e-01 9.074032817524613215e-02
3.667661156851445003e-01 9.488279144264401277e-02
3.669658793647115891e-01 1.113507423689558268e-01
3.671656430442786778e-01 1.111670232415977594e-01
3.673654067238457110e-01 1.021579322682896751e-01
3.675651704034127998e-01 8.926586867642299916e-02
3.677649340829798885e-01 9.094432270096604320e-02
3.679646977625469773e-01 1.013628766878178628e-01
3.681644614421140105e-01 1.028856118385124974e-01
3.683642251216810992e-01 1.116821107322200496e-01
3.685639888012481880e-01 1.072714194344396299e-01
3.687637524808152212e-01 1.037899978520409883e-01
3.689635161603823099e-01 1.093293241934637228e-01
3.691632798399493987e-01 1.054479863645376159e-01
3.693630435195164319e-01 9.316789562367094879e-02
3.695628071990835206e-01 8.791030301146832149e-02
3.697625708786505538e-01 1.074771913910960303e-01
3.699623345582176981e-01 1.009440437038993527e-01
3.701620982377847313e-01 1.138267760526005951e-01
3.703618619173518201e-01 1.108877630111221591e-01
3.705616255969189088e-01 1.052206070587059644e-01
3.707613892764859420e-01 1.232573457739046252e-01
3.709611529560530307e-01 9.479136376674870967e-02
3.711609166356201195e-01 9.948060874288199018e-02
3.713606803151872082e-01 9.836402341824974915e-02
3.715604439947542414e-01 1.117625875906268634e-01
3.717602076743212747e-01 1.095667827050579579e-01
3.719599713538884189e-01 1.120265303893879377e-01
3.721597350334554521e-01 1.112640549382193506e-01
3.723594987130225409e-01 1.341081661172567052e-01
3.725592623925896296e-01 1.005038654225495348e-01
3.727590260721566628e-01 1.194377634450015241e-01
3.729587897517237516e-01 1.152670710482924660e-01
3.731585534312908403e-01 1.155937639596004013e-01
3.733583171108579291e-01 1.191632997378990200e-01
3.735580807904249623e-01 1.279400968653103265e-01
3.737578444699920510e-01 1.116964438264655551e-01
3.739576081495591398e-01 1.107128261120737256e-01
3.741573718291261730e-01 1.138853446258928925e-01
3.743571355086932617e-01 1.238986812526350206e-01
3.745568991882603505e-01 1.285677215368417614e-01
