# wavelength(um) flux(mJy)
3.082294158899999692e-01 1.143573053608328699e-02
3.085297196299999767e-01 9.036197083618498563e-03
3.088300233599999833e-01 8.828786787735411548e-03
3.091303270999999908e-01 7.233113574508491343e-03
3.094306308399999983e-01 1.158205736585613292e-03
3.097309345800000058e-01 6.598743038629585438e-03
3.100312383200000133e-01 1.076856983496387796e-02
3.103315420600000207e-01 1.199614558846366467e-02
3.106318457900000274e-01 7.643417005984946486e-03
3.109321495300000349e-01 1.330020442188230463e-02
3.112324532699999868e-01 1.420412959417459084e-02
3.115327570099999943e-01 1.045757825594170222e-02
3.118330607500000018e-01 1.441672122501823708e-02
3.121333644900000093e-01 8.823305789293446610e-03
3.124336682200000159e-01 5.850239920762617327e-03
3.127339719600000234e-01 7.937665425660697660e-03
3.130342757000000309e-01 5.520483493994784822e-03
3.133345794400000384e-01 5.927931460166779680e-03
3.136348831799999903e-01 3.638569315100629534e-03
3.139351869199999978e-01 5.740704383666884840e-03
3.142354906500000045e-01 8.290908111159801461e-03
3.145357943900000119e-01 4.969973911975574844e-03
3.148360981299999639e-01 5.451762768676191896e-03
3.151364018699999714e-01 3.817310115840014638e-03
3.154367056099999789e-01 9.660614806541883287e-03
3.157370093499999864e-01 4.983679385942327983e-03
3.160373130799999930e-01 8.204476723067037278e-03
3.163376168200000005e-01 9.493121466002436490e-03
3.166379205600000080e-01 6.471475936438148349e-03
3.169382243000000154e-01 7.531662186646457570e-03
3.172385280400000229e-01 9.619282978370499032e-03
3.175388317800000304e-01 5.568990384630662614e-03
3.178391355100000371e-01 6.233504210183881539e-03
3.181394392499999890e-01 4.410457128694067128e-03
3.184397429899999965e-01 4.860901565526766846e-03
3.187400467300000040e-01 5.400280256502237343e-03
3.190403504700000115e-01 8.627413732550428746e-03
3.193406542100000189e-01 7.840981635599066774e-03
3.196409579400000256e-01 1.120082772696669518e-02
3.199412616800000331e-01 6.935665014101862619e-03
3.202415654199999850e-01 1.969279188889041989e-03
3.205418691599999925e-01 8.528089089381026000e-03
